Unnamed: 0,Product Name,Size,Company Name,Description,Source URL,Total units sold in 2023,Total units sold in 2024,Total units sold in 2025,Current balance as of January 2026,opening_balance,month,sales
11,"18.0 Cu. Ft. 30"" Top Mount Refrigerator (MT18DDSCR1RCM)","18.0 cu ft
W×D×H: 29.5""×30.9""×66.6""",Midea (Canada),"30"" top-mount refrigerator with humidity-controlled crispers; a common replacement size for older Canadian homes and a dependable mid-price option.",https://www.midea.com/ca/refrigeration/top_mount_refrigerators/sleek-top-mount-freezer-refrigerator.mt18ddscr1rcm,165,177,181,28,41,2023-01-01,12
12,"20.5 Cu. Ft. 30"" Top Mount Freezer Refrigerator (MRT21D2BWW)","20.5 cu ft
W×D×H: 29.7""×32.7""×66.6""",Midea (Canada),"Larger-capacity 30"" top-mount, frost-free and Energy Star certified; includes CSA safety certification and 115V/60Hz electrical requirements.",https://www.midea.com/ca/refrigeration/top_mount_refrigerators/reliable-top-mount-refrigerator.mrt21d2bww,123,131,138,21,42,2023-01-01,8
13,"18.7 Cu. Ft. 30"" Bottom Mount Freezer Refrigerator (MRB19B7AST)","18.7 cu ft
W×D×H: 29.5""×30.9""×66.6""",Midea (Canada),"Bottom-mount refrigerator keeps fresh food at eye level. Frost-free design, LED interior lighting, and 115V/60Hz electrical requirements—strong demand in mid-range kitchens.",https://www.midea.com/ca/refrigeration/bottom_mount_refrigerators/versatile-bottom-mount-freezer-refrigerator1.mrb19b7ast,139,147,153,24,41,2023-01-01,9
14,"22.8 Cu. Ft. 33"" Bottom Mount Refrigerator (MRB23D5AST)","22.8 cu ft
W×D×H: 32.87""×29.06""×67.32""",Midea (Canada),"33"" bottom-mount with built-in ice maker and Wi‑Fi; combines modern features with a size suited to many Canadian kitchens.",https://www.midea.com/ca/refrigeration/bottom_mount_refrigerators/spacious-bottom-mount-freezer-refrigerator.mrb23d5ast,126,132,133,23,32,2023-01-01,9
15,"20.0 Cu. Ft. 30"" 50/50 Flex Convertible Refrigerator/Freezer (MRU21C7BST)","20.0 cu ft
W×D×H: 29.72""×32.68""×66.61""",Midea (Canada),"Convertible 50/50 unit that can run as dual freezer, dual refrigerator, or split modes—useful for households that seasonally need more fridge vs. freezer space (and for basements/garages).",https://www.midea.com/ca/refrigeration/convertible-refrigerators/50-50-flex-convertible-refrigerator.mru21c7bst,157,160,171,24,33,2023-01-01,10
16,"21 Cu. Ft. 33"" Convertible 2‑in‑1 Upright Freezer/Fridge (MRU21B2ASL)","21.0 cu ft
W×D×H: 32.8""×28.9""×76.8""",Midea (Canada),Large upright freezer that converts to a refrigerator; 115V/60Hz electrical requirements and designed for garage-ready use—very popular for Canadian basements/garages and bulk storage.,https://www.midea.com/ca/freezers/upright_freezers/spacious-2-in-1-upright-freezer.mru21b2asl,132,133,138,10,24,2023-01-01,8
17,"13.8 Cu. Ft. 28"" Convertible 2‑in‑1 Upright Freezer/Fridge (MRU14F2AWW)","13.8 cu ft
W×D×H: 28""×29.5""×61.8""",Midea (Canada),Mid-size upright convertible freezer with frost-free design and 115V electrical requirements—good for apartment owners or secondary storage without taking full-depth space.,https://www.midea.com/ca/freezers/upright_freezers/versatile-2-in-1-upright-freezer.mru14f2aww,189,200,208,55,46,2023-01-01,12
18,"7.0 Cu. Ft. 30.3"" Convertible Chest Freezer (MRC07M4CWW)","7.0 cu ft
W×D×H: 30.3""×22""×33.3""",Midea (Canada),Convertible chest freezer (fridge/freezer modes) with garage-ready operating range and CSA certification; a high-demand format for cost-conscious bulk storage.,https://www.midea.com/ca/freezers/chest_freezers/convertible-chest-freezer2.mrc07m4cww,203,206,211,26,40,2023-01-01,12
19,"10.2 Cu. Ft. 44"" Chest Freezer (MC102SWAR0RC1)","10.2 cu ft
W×D×H: 43.9""×25.4""×33.5""",Midea (Canada),Large chest freezer aimed at garages/basements; balanced hinge design and manual defrost drain—fits bulk buying patterns in Canada.,https://www.midea.com/ca/freezers/chest_freezers/chest-freezer6.mc102swar0rc1,146,153,152,39,32,2023-01-01,10
20,"3.3 Cu. Ft. 19"" Compact Refrigerator w/ Freezer Compartment (MRM33S4ASLC)","3.3 cu ft
W×D×H: 18.6""×17.7""×33.9""",Midea (Canada),"Compact refrigerator with a separate freezer compartment; Energy Star certified and 115V/60Hz—strong demand for dorms, offices, basements, and small rentals.",https://www.midea.com/ca/refrigeration/compact-refrigerators/compact-refrigerator-with-freezer-compartment.mrm33s4aslc,448,477,507,52,61,2023-01-01,27
1,FC2-71 Top Mount No-Frost Refrigerator (Top Freezer),"Total net: 528 L (~18.6 cu ft)
W×D×H: 80×72×184 cm (~31.5×28.3×72.4 in)
Fridge 411 L / Freezer 117 L",Homa,Large-capacity top-mount no-frost refrigerator aimed at family kitchens. Electronic control with LED touch display; optional water dispenser and twist ice maker; reversible door and tempered glass shelves.,https://www.homa.cn/product/fc2-71/,160,167,173,16,32,2023-02-01,11
2,FF2-80D Side-by-Side No-Frost Refrigerator,"Total net: 595 L (~21.0 cu ft)
W×D×H: 91×73×177 cm (~35.8×28.7×69.7 in)
Fridge 370 L / Freezer 225 L",Homa,"Full-size side-by-side with total no-frost cooling and a smart convertible drawer. Touch display, door-open alarm, super-freeze/holiday mode, and optional ice maker; suited to larger households.",https://www.homa.cn/product/ff2-80/,103,108,113,16,21,2023-02-01,7
3,FL1-47D Upright No-Frost Refrigerator (All-Fridge),"Net capacity: 359 L (~12.7 cu ft)
W×D×H: 60×66×185 cm (~23.6×26.0×72.8 in)",Homa,"Tall upright, all-refrigerator (no freezer) with total no-frost. Electronic control with LED touch display, power-cool/holiday mode, optional water dispenser, and reversible door—good for extra fresh-food storage.",https://www.homa.cn/product/fl1-47/,197,198,208,28,28,2023-02-01,14
4,"31.7 Cu. Ft. 36"" Standard-Depth French Door Refrigerator (MRF32I6BST)","31.7 cu ft
W×D×H: 35.8""×33.7""×69.88""",Midea (Canada),"High-capacity 36"" French door unit with built-in autofill pitcher and dual ice maker; designed for large households and bulk grocery runs.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/standard-depth-french-door-refrigerator-with-autofill-pitcher.mrf32i6bst,62,66,70,21,21,2023-02-01,4
5,"28.9 Cu. Ft. 36"" Standard-Depth French Door Refrigerator (MRF29D9BST)","28.9 cu ft
W×D×H: 35.83""×33.94""×69.88""",Midea (Canada),"36"" French door model featuring OneTouch AutoFill™ ice & water dispenser and adjustable storage (Infinite Shelf/Door Bin)—a strong mainstream family configuration in Canada.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/standard-depth-french-door-refrigerator-with-onetouch-autofill.mrf29d9bst,91,92,94,15,22,2023-02-01,6
6,"29.3 Cu. Ft. 36"" Standard-Depth French Door Refrigerator (MRF29D2AST)","29.3 cu ft
W×D×H: 35.8""×33.9""×69.9""",Midea (Canada),"Large 36"" French door with recessed handles and exterior ice/water dispensing—popular format for family kitchens needing high capacity.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/standard-depth-french-door-refrigerator-with-recessed-handles.mrf29d2ast,89,93,95,14,15,2023-02-01,7
7,"26.5 Cu. Ft. 36"" Counter-Depth French Door Refrigerator (MRF27I6BST)","26.5 cu ft
W×D×H: 35.8""×29.02""×69.9"" (counter-depth)",Midea (Canada),"Counter-depth French door unit for a built-in look (common in newer Canadian condos/homes). Includes autofill pitcher, dual ice maker, and Wi‑Fi control.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/counter-depth-french-door-refrigerator-with-autofill-pitcher.mrf27i6bst,86,94,95,22,19,2023-02-01,6
8,"22.6 Cu. Ft. 33"" Counter-Depth French Door Refrigerator (MRF23I7AST)","22.6 cu ft
W×D×H: 32.87""×29.06""×67.32"" (counter-depth)",Midea (Canada),"33"" counter-depth French door with built-in freezer ice maker and Wi‑Fi—fits tighter kitchen layouts while staying in the premium French-door segment.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/counter-depth-french-door-refrigerator-with-ice-maker.mrf23i7ast,99,108,112,32,29,2023-02-01,8
9,"18.4 Cu. Ft. 30"" French Door Refrigerator (MRF18B4AST)","18.4 cu ft
W×D×H: 29.5""×30.9""×66.6""",Midea (Canada),"30"" French door refrigerator with recessed handles—strong “value premium” size for many Canadian kitchens that can’t fit a full 36"" unit.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/french-door-refrigerator-with-recessed-handles.mrf18b4ast,124,136,133,44,33,2023-02-01,8
10,"18.1 Cu. Ft. 30"" Top Mount Freezer Refrigerator (MRT18D3BST)","18.1 cu ft
W×D×H: 29.7""×30.7""×66.6""",Midea (Canada),"Top-mount freezer refrigerator (classic, budget-friendly format). Multi-airflow cooling, automatic defrost, and ice-maker ready—high-volume segment for rentals and price-sensitive buyers.",https://www.midea.com/ca/refrigeration/top_mount_refrigerators/spacious-top-mount-freezer-refrigerator.mrt18d3bst,164,166,175,29,34,2023-02-01,12
11,"18.0 Cu. Ft. 30"" Top Mount Refrigerator (MT18DDSCR1RCM)","18.0 cu ft
W×D×H: 29.5""×30.9""×66.6""",Midea (Canada),"30"" top-mount refrigerator with humidity-controlled crispers; a common replacement size for older Canadian homes and a dependable mid-price option.",https://www.midea.com/ca/refrigeration/top_mount_refrigerators/sleek-top-mount-freezer-refrigerator.mt18ddscr1rcm,165,177,181,28,43,2023-02-01,13
12,"20.5 Cu. Ft. 30"" Top Mount Freezer Refrigerator (MRT21D2BWW)","20.5 cu ft
W×D×H: 29.7""×32.7""×66.6""",Midea (Canada),"Larger-capacity 30"" top-mount, frost-free and Energy Star certified; includes CSA safety certification and 115V/60Hz electrical requirements.",https://www.midea.com/ca/refrigeration/top_mount_refrigerators/reliable-top-mount-refrigerator.mrt21d2bww,123,131,138,21,34,2023-02-01,9
13,"18.7 Cu. Ft. 30"" Bottom Mount Freezer Refrigerator (MRB19B7AST)","18.7 cu ft
W×D×H: 29.5""×30.9""×66.6""",Midea (Canada),"Bottom-mount refrigerator keeps fresh food at eye level. Frost-free design, LED interior lighting, and 115V/60Hz electrical requirements—strong demand in mid-range kitchens.",https://www.midea.com/ca/refrigeration/bottom_mount_refrigerators/versatile-bottom-mount-freezer-refrigerator1.mrb19b7ast,139,147,153,24,33,2023-02-01,11
14,"22.8 Cu. Ft. 33"" Bottom Mount Refrigerator (MRB23D5AST)","22.8 cu ft
W×D×H: 32.87""×29.06""×67.32""",Midea (Canada),"33"" bottom-mount with built-in ice maker and Wi‑Fi; combines modern features with a size suited to many Canadian kitchens.",https://www.midea.com/ca/refrigeration/bottom_mount_refrigerators/spacious-bottom-mount-freezer-refrigerator.mrb23d5ast,126,132,133,23,24,2023-02-01,8
15,"20.0 Cu. Ft. 30"" 50/50 Flex Convertible Refrigerator/Freezer (MRU21C7BST)","20.0 cu ft
W×D×H: 29.72""×32.68""×66.61""",Midea (Canada),"Convertible 50/50 unit that can run as dual freezer, dual refrigerator, or split modes—useful for households that seasonally need more fridge vs. freezer space (and for basements/garages).",https://www.midea.com/ca/refrigeration/convertible-refrigerators/50-50-flex-convertible-refrigerator.mru21c7bst,157,160,171,24,35,2023-02-01,11
16,"21 Cu. Ft. 33"" Convertible 2‑in‑1 Upright Freezer/Fridge (MRU21B2ASL)","21.0 cu ft
W×D×H: 32.8""×28.9""×76.8""",Midea (Canada),Large upright freezer that converts to a refrigerator; 115V/60Hz electrical requirements and designed for garage-ready use—very popular for Canadian basements/garages and bulk storage.,https://www.midea.com/ca/freezers/upright_freezers/spacious-2-in-1-upright-freezer.mru21b2asl,132,133,138,10,25,2023-02-01,9
17,"13.8 Cu. Ft. 28"" Convertible 2‑in‑1 Upright Freezer/Fridge (MRU14F2AWW)","13.8 cu ft
W×D×H: 28""×29.5""×61.8""",Midea (Canada),Mid-size upright convertible freezer with frost-free design and 115V electrical requirements—good for apartment owners or secondary storage without taking full-depth space.,https://www.midea.com/ca/freezers/upright_freezers/versatile-2-in-1-upright-freezer.mru14f2aww,189,200,208,55,54,2023-02-01,15
18,"7.0 Cu. Ft. 30.3"" Convertible Chest Freezer (MRC07M4CWW)","7.0 cu ft
W×D×H: 30.3""×22""×33.3""",Midea (Canada),Convertible chest freezer (fridge/freezer modes) with garage-ready operating range and CSA certification; a high-demand format for cost-conscious bulk storage.,https://www.midea.com/ca/freezers/chest_freezers/convertible-chest-freezer2.mrc07m4cww,203,206,211,26,32,2023-02-01,13
19,"10.2 Cu. Ft. 44"" Chest Freezer (MC102SWAR0RC1)","10.2 cu ft
W×D×H: 43.9""×25.4""×33.5""",Midea (Canada),Large chest freezer aimed at garages/basements; balanced hinge design and manual defrost drain—fits bulk buying patterns in Canada.,https://www.midea.com/ca/freezers/chest_freezers/chest-freezer6.mc102swar0rc1,146,153,152,39,40,2023-02-01,10
20,"3.3 Cu. Ft. 19"" Compact Refrigerator w/ Freezer Compartment (MRM33S4ASLC)","3.3 cu ft
W×D×H: 18.6""×17.7""×33.9""",Midea (Canada),"Compact refrigerator with a separate freezer compartment; Energy Star certified and 115V/60Hz—strong demand for dorms, offices, basements, and small rentals.",https://www.midea.com/ca/refrigeration/compact-refrigerators/compact-refrigerator-with-freezer-compartment.mrm33s4aslc,448,477,507,52,61,2023-02-01,32
1,FC2-71 Top Mount No-Frost Refrigerator (Top Freezer),"Total net: 528 L (~18.6 cu ft)
W×D×H: 80×72×184 cm (~31.5×28.3×72.4 in)
Fridge 411 L / Freezer 117 L",Homa,Large-capacity top-mount no-frost refrigerator aimed at family kitchens. Electronic control with LED touch display; optional water dispenser and twist ice maker; reversible door and tempered glass shelves.,https://www.homa.cn/product/fc2-71/,160,167,173,16,31,2023-03-01,11
2,FF2-80D Side-by-Side No-Frost Refrigerator,"Total net: 595 L (~21.0 cu ft)
W×D×H: 91×73×177 cm (~35.8×28.7×69.7 in)
Fridge 370 L / Freezer 225 L",Homa,"Full-size side-by-side with total no-frost cooling and a smart convertible drawer. Touch display, door-open alarm, super-freeze/holiday mode, and optional ice maker; suited to larger households.",https://www.homa.cn/product/ff2-80/,103,108,113,16,20,2023-03-01,7
3,FL1-47D Upright No-Frost Refrigerator (All-Fridge),"Net capacity: 359 L (~12.7 cu ft)
W×D×H: 60×66×185 cm (~23.6×26.0×72.8 in)",Homa,"Tall upright, all-refrigerator (no freezer) with total no-frost. Electronic control with LED touch display, power-cool/holiday mode, optional water dispenser, and reversible door—good for extra fresh-food storage.",https://www.homa.cn/product/fl1-47/,197,198,208,28,33,2023-03-01,15
4,"31.7 Cu. Ft. 36"" Standard-Depth French Door Refrigerator (MRF32I6BST)","31.7 cu ft
W×D×H: 35.8""×33.7""×69.88""",Midea (Canada),"High-capacity 36"" French door unit with built-in autofill pitcher and dual ice maker; designed for large households and bulk grocery runs.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/standard-depth-french-door-refrigerator-with-autofill-pitcher.mrf32i6bst,62,66,70,21,25,2023-03-01,5
5,"28.9 Cu. Ft. 36"" Standard-Depth French Door Refrigerator (MRF29D9BST)","28.9 cu ft
W×D×H: 35.83""×33.94""×69.88""",Midea (Canada),"36"" French door model featuring OneTouch AutoFill™ ice & water dispenser and adjustable storage (Infinite Shelf/Door Bin)—a strong mainstream family configuration in Canada.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/standard-depth-french-door-refrigerator-with-onetouch-autofill.mrf29d9bst,91,92,94,15,21,2023-03-01,7
6,"29.3 Cu. Ft. 36"" Standard-Depth French Door Refrigerator (MRF29D2AST)","29.3 cu ft
W×D×H: 35.8""×33.9""×69.9""",Midea (Canada),"Large 36"" French door with recessed handles and exterior ice/water dispensing—popular format for family kitchens needing high capacity.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/standard-depth-french-door-refrigerator-with-recessed-handles.mrf29d2ast,89,93,95,14,23,2023-03-01,7
7,"26.5 Cu. Ft. 36"" Counter-Depth French Door Refrigerator (MRF27I6BST)","26.5 cu ft
W×D×H: 35.8""×29.02""×69.9"" (counter-depth)",Midea (Canada),"Counter-depth French door unit for a built-in look (common in newer Canadian condos/homes). Includes autofill pitcher, dual ice maker, and Wi‑Fi control.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/counter-depth-french-door-refrigerator-with-autofill-pitcher.mrf27i6bst,86,94,95,22,21,2023-03-01,7
8,"22.6 Cu. Ft. 33"" Counter-Depth French Door Refrigerator (MRF23I7AST)","22.6 cu ft
W×D×H: 32.87""×29.06""×67.32"" (counter-depth)",Midea (Canada),"33"" counter-depth French door with built-in freezer ice maker and Wi‑Fi—fits tighter kitchen layouts while staying in the premium French-door segment.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/counter-depth-french-door-refrigerator-with-ice-maker.mrf23i7ast,99,108,112,32,33,2023-03-01,7
9,"18.4 Cu. Ft. 30"" French Door Refrigerator (MRF18B4AST)","18.4 cu ft
W×D×H: 29.5""×30.9""×66.6""",Midea (Canada),"30"" French door refrigerator with recessed handles—strong “value premium” size for many Canadian kitchens that can’t fit a full 36"" unit.",https://www.midea.com/ca/refrigeration/french-door-refrigerators/french-door-refrigerator-with-recessed-handles.mrf18b4ast,124,136,133,44,26,2023-03-01,10
10,"18.1 Cu. Ft. 30"" Top Mount Freezer Refrigerator (MRT18D3BST)","18.1 cu ft
W×D×H: 29.7""×30.7""×66.6""",Midea (Canada),"Top-mount freezer refrigerator (classic, budget-friendly format). Multi-airflow cooling, automatic defrost, and ice-maker ready—high-volume segment for rentals and price-sensitive buyers.",https://www.midea.com/ca/refrigeration/top_mount_refrigerators/spacious-top-mount-freezer-refrigerator.mrt18d3bst,164,166,175,29,36,2023-03-01,12
11,"18.0 Cu. Ft. 30"" Top Mount Refrigerator (MT18DDSCR1RCM)","18.0 cu ft
W×D×H: 29.5""×30.9""×66.6""",Midea (Canada),"30"" top-mount refrigerator with humidity-controlled crispers; a common replacement size for older Canadian homes and a dependable mid-price option.",https://www.midea.com/ca/refrigeration/top_mount_refrigerators/sleek-top-mount-freezer-refrigerator.mt18ddscr1rcm,165,177,181,28,31,2023-03-01,13
12,"20.5 Cu. Ft. 30"" Top Mount Freezer Refrigerator (MRT21D2BWW)","20.5 cu ft
W×D×H: 29.7""×32.7""×66.6""",Midea (Canada),"Larger-capacity 30"" top-mount, frost-free and Energy Star certified; includes CSA safety certification and 115V/60Hz electrical requirements.",https://www.midea.com/ca/refrigeration/top_mount_refrigerators/reliable-top-mount-refrigerator.mrt21d2bww,123,131,138,21,30,2023-03-01,9
13,"18.7 Cu. Ft. 30"" Bottom Mount Freezer Refrigerator (MRB19B7AST)","18.7 cu ft
W×D×H: 29.5""×30.9""×66.6""",Midea (Canada),"Bottom-mount refrigerator keeps fresh food at eye level. Frost-free design, LED interior lighting, and 115V/60Hz electrical requirements—strong demand in mid-range kitchens.",https://www.midea.com/ca/refrigeration/bottom_mount_refrigerators/versatile-bottom-mount-freezer-refrigerator1.mrb19b7ast,139,147,153,24,39,2023-03-01,10
14,"22.8 Cu. Ft. 33"" Bottom Mount Refrigerator (MRB23D5AST)","22.8 cu ft
W×D×H: 32.87""×29.06""×67.32""",Midea (Canada),"33"" bottom-mount with built-in ice maker and Wi‑Fi; combines modern features with a size suited to many Canadian kitchens.",https://www.midea.com/ca/refrigeration/bottom_mount_refrigerators/spacious-bottom-mount-freezer-refrigerator.mrb23d5ast,126,132,133,23,42,2023-03-01,10
15,"20.0 Cu. Ft. 30"" 50/50 Flex Convertible Refrigerator/Freezer (MRU21C7BST)","20.0 cu ft
W×D×H: 29.72""×32.68""×66.61""",Midea (Canada),"Convertible 50/50 unit that can run as dual freezer, dual refrigerator, or split modes—useful for households that seasonally need more fridge vs. freezer space (and for basements/garages).",https://www.midea.com/ca/refrigeration/convertible-refrigerators/50-50-flex-convertible-refrigerator.mru21c7bst,157,160,171,24,30,2023-03-01,11
16,"21 Cu. Ft. 33"" Convertible 2‑in‑1 Upright Freezer/Fridge (MRU21B2ASL)","21.0 cu ft
W×D×H: 32.8""×28.9""×76.8""",Midea (Canada),Large upright freezer that converts to a refrigerator; 115V/60Hz electrical requirements and designed for garage-ready use—very popular for Canadian basements/garages and bulk storage.,https://www.midea.com/ca/freezers/upright_freezers/spacious-2-in-1-upright-freezer.mru21b2asl,132,133,138,10,20,2023-03-01,10
17,"13.8 Cu. Ft. 28"" Convertible 2‑in‑1 Upright Freezer/Fridge (MRU14F2AWW)","13.8 cu ft
W×D×H: 28""×29.5""×61.8""",Midea (Canada),Mid-size upright convertible freezer with frost-free design and 115V electrical requirements—good for apartment owners or secondary storage without taking full-depth space.,https://www.midea.com/ca/freezers/upright_freezers/versatile-2-in-1-upright-freezer.mru14f2aww,189,200,208,55,39,2023-03-01,14
18,"7.0 Cu. Ft. 30.3"" Convertible Chest Freezer (MRC07M4CWW)","7.0 cu ft
W×D×H: 30.3""×22""×33.3""",Midea (Canada),Convertible chest freezer (fridge/freezer modes) with garage-ready operating range and CSA certification; a high-demand format for cost-conscious bulk storage.,https://www.midea.com/ca/freezers/chest_freezers/convertible-chest-freezer2.mrc07m4cww,203,206,211,26,23,2023-03-01,13
19,"10.2 Cu. Ft. 44"" Chest Freezer (MC102SWAR0RC1)","10.2 cu ft
W×D×H: 43.9""×25.4""×33.5""",Midea (Canada),Large chest freezer aimed at garages/basements; balanced hinge design and manual defrost drain—fits bulk buying patterns in Canada.,https://www.midea.com/ca/freezers/chest_freezers/chest-freezer6.mc102swar0rc1,146,153,152,39,30,2023-03-01,11
20,"3.3 Cu. Ft. 19"" Compact Refrigerator w/ Freezer Compartment (MRM33S4ASLC)","3.3 cu ft
W×D×H: 18.6""×17.7""×33.9""",Midea (Canada),"Compact refrigerator with a separate freezer compartment; Energy Star certified and 115V/60Hz—strong demand for dorms, offices, basements, and small rentals.",https://www.midea.com/ca/refrigeration/compact-refrigerators/compact-refrigerator-with-freezer-compartment.mrm33s4aslc,448,477,507,52,58,2023-03-01,35
1,FC2-71 Top Mount No-Frost Refrigerator (Top Freezer),"Total net: 528 L (~18.6 cu ft)
W×D×H: 80×72×184 cm (~31.5×28.3×72.4 in)
Fridge 411 L / Freezer 117 L",Homa,Large-capacity top-mount no-frost refrigerator aimed at family kitchens. Electronic control with LED touch display; optional water dispenser and twist ice maker; reversible door and tempered glass shelves.,https://www.homa.cn/product/fc2-71/,160,167,173,16,35,2023-04-01,12
2,FF2-80D Side-by-Side No-Frost Refrigerator,"Total net: 595 L (~21.0 cu ft)
W×D×H: 91×73×177 cm (~35.8×28.7×69.7 in)
Fridge 370 L / Freezer 225 L",Homa,"Full-size side-by-side with total no-frost cooling and a smart convertible drawer. Touch display, door-open alarm, super-freeze/holiday mode, and optional ice maker; suited to larger households.",https://www.homa.cn/product/ff2-80/,103,108,113,16,15,2023-04-01,9
3,FL1-47D Upright No-Frost Refrigerator (All-Fridge),"Net capacity: 359 L (~12.7 cu ft)
W×D×H: 60×66×185 cm (~23.6×26.0×72.8 in)",Homa,"Tall upright, all-refrigerator (no freezer) with total no-frost. Electronic control with LED touch display, power-cool/holiday mode, optional water dispenser, and reversible door—good for extra fresh-food storage.",https://www.homa.cn/product/fl1-47/,197,198,208,28,46,2023-04-01,17
